Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,5,358,12307,8113,4209,992,0.534,0.396,0.831,34.4,22.7,11.8,2.8,50.4,0.197,4.8,21.1
2,2,LAL,D'Angelo Russell,Ohio State,5,317,9204,5532,1176,1666,0.42,0.356,0.772,29,17.5,3.7,5.3,8.4,0.044,0.3,5.5
3,3,PHI,Jahlil Okafor,Duke,5,220,4480,2421,1103,212,0.538,0.222,0.675,20.4,11,5,1,6.6,0.07,-1.9,0.1
4,4,NYK,Kristaps Porziņģis,,4,243,7578,4476,1857,350,0.434,0.358,0.803,31.2,18.4,7.6,1.4,17.3,0.109,1.2,6
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,5,349,8187,3361,2194,553,0.539,0.211,0.611,23.5,9.6,6.3,1.6,20.3,0.119,0.1,4.3
7,7,DEN,Emmanuel Mudiay,,5,300,7176,3296,884,1139,0.401,0.323,0.744,23.9,11,2.9,3.8,-0.2,-0.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,5,310,6310,2045,1001,443,0.374,0.293,0.755,20.4,6.6,3.2,1.4,3.4,0.026,-2.9,-1.4
9,9,CHO,Frank Kaminsky,Wisconsin,5,321,7029,3136,1298,527,0.422,0.347,0.75,21.9,9.8,4,1.6,12.4,0.085,-0.6,2.5
10,10,MIA,Justise Winslow,Duke,5,241,6848,2181,1295,657,0.417,0.337,0.646,28.4,9,5.4,2.7,7.7,0.054,-1.8,0.3
11,11,IND,Myles Turner,Texas,5,342,9689,4353,2276,421,0.488,0.357,0.768,28.3,12.7,6.7,1.2,26.4,0.131,0.6,6.3
12,12,UTA,Trey Lyles,Kentucky,5,351,6322,2602,1488,375,0.433,0.341,0.708,18,7.4,4.2,1.1,10.3,0.078,-1.2,1.3
13,13,PHO,Devin Booker,Kentucky,5,342,11457,7683,1242,1610,0.448,0.354,0.871,33.5,22.5,3.6,4.7,17.3,0.073,-0.2,5.3
14,14,OKC,Cameron Payne,Murray State,5,161,2637,1001,305,406,0.403,0.344,0.781,16.4,6.2,1.9,2.5,2.7,0.049,-2,0
15,15,ATL,Kelly Oubre,Kansas,5,348,8375,3783,1443,327,0.431,0.329,0.778,24.1,10.9,4.1,0.9,12.1,0.069,-1.9,0.2
16,16,BOS,Terry Rozier,Louisville,5,335,7597,3224,1249,890,0.394,0.371,0.813,22.7,9.6,3.7,2.7,12.9,0.082,-0.1,3.6
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,4,200,3096,1094,607,160,0.478,0.288,0.606,15.5,5.5,3,0.8,5.4,0.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5
20,20,TOR,Delon Wright,Utah,5,271,5377,1965,829,780,0.45,0.342,0.79,19.8,7.3,3.1,2.9,14.9,0.133,2.1,5.5
21,21,DAL,Justin Anderson,Virginia,5,226,2964,1182,575,151,0.413,0.296,0.774,13.1,5.2,2.5,0.7,4.6,0.074,-1.4,0.5
22,22,CHI,Bobby Portis,Arkansas,5,315,6437,3215,1872,380,0.456,0.36,0.754,20.4,10.2,5.9,1.2,10.8,0.081,-1.3,1.1
23,23,POR,Rondae Hollis-Jefferson,Arizona,5,294,6652,2733,1658,566,0.448,0.213,0.738,22.6,9.3,5.6,1.9,12.5,0.09,-0.7,2.2
24,24,CLE,Tyus Jones,Duke,5,312,5606,1733,483,1108,0.431,0.345,0.803,18,5.6,1.5,3.6,11.4,0.098,0,2.8
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance,Wyoming,5,315,7396,2562,2094,559,0.537,0.324,0.695,23.5,8.1,6.6,1.8,20.4,0.132,1.2,6.1
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,5,224,3121,979,832,214,0.57,0.15,0.601,13.9,4.4,3.7,1,10.3,0.158,-0.5,1.1
31,31,MIN,Cedi Osman,,3,202,5026,1947,708,390,0.437,0.364,0.717,24.9,9.6,3.5,1.9,4,0.038,-2.9,-1.2
32,32,HOU,Montrezl Harrell,Louisville,5,318,6643,4037,1570,424,0.614,0.1,0.638,20.9,12.7,4.9,1.3,26.1,0.189,2.6,7.7
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6
35,35,PHI,Willy Hernangómez,,4,209,3006,1444,1130,218,0.531,0.33,0.687,14.4,6.9,5.4,1,8.6,0.137,0.1,1.6
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,5,270,5067,2268,1346,254,0.583,0.257,0.724,18.8,8.4,5,0.9,17.3,0.164,0.6,3.2
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,5,314,9642,3889,997,904,0.426,0.363,0.818,30.7,12.4,3.2,2.9,17.9,0.089,-0.3,4.2
41,41,BRK,Pat Connaughton,Notre Dame,5,283,4451,1356,787,358,0.443,0.344,0.79,15.7,4.8,2.8,1.3,10.1,0.109,-0.4,1.8
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,5,307,5760,2640,728,400,0.457,0.361,0.818,18.8,8.6,2.4,1.3,12,0.1,-0.3,2.5
47,47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
